Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Segmen;Quarter;Total Peserta;Durasi /Jam;Govt;nonGovt
2021;"GTP";"Work with Data in A Power Apps Canvas App ";2020-09-29 00:00:00,000;"29/09/2020";"HigherEd";"Q1";"128";3;0;128
2021;"GTP";"Managing Documents Institution with SharePoint Online ";2020-09-30 00:00:00,000;"30/09/2020";"HigherEd";"Q1";"117";3;0;117
2021;"MAU";"A Learning Platform for the New Normal ";2020-09-17 00:00:00,000;"17/09/2020";"HigherEd&K-12";"Q1";"68";1,5;0;68
2021;"MAU";"Deploying Office in Education ";2020-09-18 00:00:00,000;"18/09/2020";"HigherEd&K-12";"Q1";"55";1,5;0;55
2021;"MAU";"Microsoft K12 Education Transformation Framework";2020-09-24 00:00:00,000;"24/09/2020";"HigherEd&K-12";"Q1";"45";1,5;0;45
2021;"MAU";"Creating a New Culture with Teams and Planner ";2020-09-25 00:00:00,000;"25/09/2020";"HigherEd&K-12";"Q1";"31";1,5;0;31
2021;"MAU";"How to create outcomes through digital content and professional development";2020-09-29 00:00:00,000;"29/09/2020";"HigherEd&K-12";"Q1";"43";1,5;0;43
2021;"MAU";"Managing Documents Corporate with SharePoint Online ";2020-09-30 00:00:00,000;"30/09/2020";"HigherEd&K-12";"Q1";"33";1,5;0;33
2021;"AzureAI";"Batch 2 – Getting Started with AI on Azure";2020-12-07 00:00:00,000;"07/12/2020";"HigherEd";"Q2";"50";3;0;50
2021;"AzureAI";"Batch 2 – No-Code Machine Learning and Natural Language Processing";2020-12-08 00:00:00,000;"08/12/2020";"HigherEd";"Q2";"8";3;0;8
2021;"AzureAI";"Batch 2 – Exploring Computer Vision and Conversational AI ";2020-12-11 00:00:00,000;"11/12/2020";"HigherEd";"Q2";"26";3;0;26
2021;"Edvision";"Remote Learning Method during COVID-19 ";2020-11-18 00:00:00,000;"18/11/2020";"HigherEd&K-12";"Q2";"35";3;0;35
2021;"Edvision";"Core PowerPoint 2019";2020-12-02 00:00:00,000;"02/12/2020";"HigherEd&K-12";"Q2";"125";3;0;125
2021;"Edvision";"Core Excel 2019";2020-12-10 00:00:00,000;"10/12/2020";"HigherEd&K-12";"Q2";"75";3;0;75
2021;"GTP";"Microsoft 365 Overview";2020-11-23 00:00:00,000;"23/11/2020";"HigherEd";"Q2";"277";1;0;277
2021;"GTPK12";"Pelatihan Pemanfaatan Office 365 dalam Pembelajaran (Aktivasi Akun Microsoft 365 dan Ekplor Microsoft Educator Center) ";2020-11-14 00:00:00,000;"14/11/2020";"K-12";"Q2";"105";3;0;105
2021;"GTPK12";"Pelatihan Pemanfaatan Office 365 dalam Pembelajaran (OneDrive for Business dan Forms) ";2020-11-15 00:00:00,000;"15/11/2020";"K-12";"Q2";"90";2;0;90
2021;"GTPK12";"Eksplorasi Microsoft Educator Center dan Microsoft Teams";2020-11-15 00:00:00,000;"15/11/2020";"K-12";"Q2";"85";2;0;85
2021;"GTPK12";"Eksplorasi Microsoft Educator Center dan Microsoft Teams";2020-11-15 00:00:00,000;"15/11/2020";"K-12";"Q2";"89";2;0;89
2021;"GTPK12";"Eksplorasi Microsoft Educator Center dan Microsoft Teams ";2020-11-15 00:00:00,000;"15/11/2020";"K-12";"Q2";"19";2;0;19
2021;"GTPK12";"Pelatihan Office 365 – MEC dan Microsoft Teams ";2020-11-16 00:00:00,000;"16/11/2020";"K-12";"Q2";"17";2;0;17
2021;"GTPK12";"Pelatihan Pemanfaatan Microsoft Teams untuk Mendukung Pembelajaran ";2020-11-16 00:00:00,000;"16/11/2020";"K-12";"Q2";"260";2;0;260
2021;"GTPK12";"Pelatihan Office 365 – Sway dan OneDrive for Business ";2020-11-16 00:00:00,000;"16/11/2020";"K-12";"Q2";"123";2;0;123
2021;"GTPK12";"Pelatihan Office 365 - Sway, OneNote Class Notebook, & Office Online ";2020-11-17 00:00:00,000;"17/11/2020";"K-12";"Q2";"25";2;0;25
2021;"GTPK12";"Pelatihan Office 365 - Sway, Onenote Class Notebook dan Office Online";2020-11-17 00:00:00,000;"17/11/2020";"K-12";"Q2";"33";2;0;33
2021;"GTPK12";"Pelatihan Office 365 - Sway, OneNote Class Notebook, dan OneDrive for Business ";2020-11-17 00:00:00,000;"17/11/2020";"K-12";"Q2";"23";2;0;23
2021;"GTPK12";"Pemanfaatan Office 365 dalam Pembelajaran (Sway, OneNote, dan Office Online) ";2020-11-17 00:00:00,000;"17/11/2020";"K-12";"Q2";"57";2;0;57
2021;"GTPK12";"Pelatihan Office 365 – Microsoft Teams dan Sway ";2020-11-17 00:00:00,000;"17/11/2020";"K-12";"Q2";"51";2;0;51
2021;"GTPK12";"Pelatihan Office 365 - Microsoft Teams dan One Note Class NoteBook ";2020-11-17 00:00:00,000;"17/11/2020";"K-12";"Q2";"48";2;0;48
2021;"GTPK12";"Pelatihan Microsoft 365 for Education (Sway, OneNote, dan Office Online) ";2020-11-18 00:00:00,000;"18/11/2020";"K-12";"Q2";"19";2;0;19
2021;"GTPK12";"Pelatihan Office 365 untuk Pendidikan - Sway, OneNote Class Notebook, & Office Online ";2020-11-18 00:00:00,000;"18/11/2020";"K-12";"Q2";"28";2;0;28
2021;"GTPK12";"STEMDEMIC with Microsoft 365 – Day1 ";2020-12-02 00:00:00,000;"02/12/2020";"K-12";"Q2";"180";2;0;180
2021;"GTPK12";"STEMDEMIC with Microsoft 365 – Day2";2020-12-03 00:00:00,000;"03/12/2020";"K-12";"Q2";"135";2;0;135
2021;"GTPK12";"STEMDEMIC with Microsoft 365 – Day3";2020-12-04 00:00:00,000;"04/12/2020";"K-12";"Q2";"127";2;0;127
2021;"GTPK12";"STEMDEMIC with Microsoft 365 – Day4";2020-12-05 00:00:00,000;"05/12/2020";"K-12";"Q2";"116";2;0;116
2021;"M365";"Microsoft 365 Administration Workshop ";2020-10-16 00:00:00,000;"16/10/2020";"K-12";"Q2";"21";3;0;21
2021;"M365";"Microsoft Teams Administration Workshop";2020-10-20 00:00:00,000;"20/10/2020";"K-12";"Q2";"12";3;0;12
2021;"M365";"Microsoft 365 Identity with Azure Active Directory ";2020-10-22 00:00:00,000;"22/10/2020";"K-12";"Q2";"11";3;0;11
2021;"MAU";"How to Create Outcomes through Digital Content and Professional Development ";2020-10-06 00:00:00,000;"06/10/2020";"HigherEd&K-12";"Q2";"52";1,5;0;52
2021;"MAU";"Azure for Higher Education ";2020-10-09 00:00:00,000;"09/10/2020";"HigherEd&K-12";"Q2";"33";1,5;0;33
2021;"MAU";"Outcome Based Education Model Implementation with Microsoft 365 ";2020-10-13 00:00:00,000;"13/10/2020";"HigherEd&K-12";"Q2";"23";1,5;0;23
2021;"MAU";"Enabling Microsoft 365 Workloads for Collaboration";2020-10-16 00:00:00,000;"16/10/2020";"HigherEd&K-12";"Q2";"12";1,5;0;12
2021;"MAU";"Configuring Breakout Room in Teams ";2020-10-19 00:00:00,000;"19/10/2020";"HigherEd&K-12";"Q2";"3";1;0;3
2021;"MAU";"BPK Penabur Discussion: Implementation and training of Microsoft 365 ";2020-11-12 00:00:00,000;"12/11/2020";"HigherEd&K-12";"Q2";"8";1;0;8
2021;"MAU";"BPK Penabur Series: PowerShell Administration ";2020-11-16 00:00:00,000;"16/11/2020";"HigherEd&K-12";"Q2";"12";1;0;12
2021;"MAU";"PowerShell Wokrshop Session 1 ";2020-11-23 00:00:00,000;"23/11/2020";"HigherEd&K-12";"Q2";"8";1;0;8
2021;"MAU";"PowerShell Wokrshop Session 2";2020-11-23 00:00:00,000;"23/11/2020";"HigherEd&K-12";"Q2";"8";1;0;8
2021;"MAU";"Introduction of Cloud Environment ";2020-12-17 00:00:00,000;"17/12/2020";"HigherEd&K-12";"Q2";"46";1;0;46
2021;"MAU";"Introduction of Azure Resources ";2020-12-17 00:00:00,000;"17/12/2020";"HigherEd&K-12";"Q2";"46";1;0;46
2021;"MAU";"Web Technology in The Cloud ";2020-12-17 00:00:00,000;"17/12/2020";"HigherEd&K-12";"Q2";"46";1;0;46
2021;"MAU";"Web Deployment Through Visual Studio ";2020-12-18 00:00:00,000;"18/12/2020";"HigherEd&K-12";"Q2";"30";1;0;30
2021;"MAU";"ASP.NET Core Project Structure and Concept of Staging and Scaling on The Cloud ";2020-12-18 00:00:00,000;"18/12/2020";"HigherEd&K-12";"Q2";"30";1;0;30
2021;"MAU";"Staging and Scaling Web Application Process in App Service ";2020-12-18 00:00:00,000;"18/12/2020";"HigherEd&K-12";"Q2";"30";1;0;30
2021;"MAU";"Microsoft 365 Administration Workshop ";2020-12-18 00:00:00,000;"18/12/2020";"HigherEd&K-12";"Q2";"13";1;0;13
2021;"MAU";"Microsoft 365 Enterprise and Security Administration and EFO App";2020-12-18 00:00:00,000;"18/12/2020";"HigherEd&K-12";"Q2";"13";1;0;13
2021;"MAU";"Web Architecture Framework on The Cloud ";2020-12-22 00:00:00,000;"22/12/2020";"HigherEd&K-12";"Q2";"16";1;0;16
2021;"MAU";"Pilar-pilar Azure WAF Part II";2020-12-22 00:00:00,000;"22/12/2020";"HigherEd&K-12";"Q2";"16";1;0;16
2021;"MAU";"Resources Security on Azure ";2020-12-22 00:00:00,000;"22/12/2020";"HigherEd&K-12";"Q2";"16";1;0;16
2021;"GTP";"Creating An App Solution for Higher Ed Institution with Power Platforms ";2021-03-04 00:00:00,000;"04/03/2021";"HigherEd";"Q3";"71";3;0;71
