Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Quarter;Total Peserta;Segmen
2020;"M365";"Workshop Microsoft 365 - Word for Academic Research ";2019-08-22 00:00:00,000;2019-08-22 00:00:00,000;"Q1 ";"42 ";"HigherEd"
2020;"TeamsCoaching";"Membangun Kelas Virtual pada Pembelajaran Abad 21 dengan Microsoft Teams ";2019-08-30 00:00:00,000;2019-08-30 00:00:00,000;"Q1 ";"44 ";"K-12"
2020;"M365";"FunFest - Microsoft 365: Mengenal Microsoft 365 sebagai Fasilitas Universitas ";2019-09-03 00:00:00,000;2019-09-03 00:00:00,000;"Q1 ";"269 ";"HigherEd"
2020;"M365";"Seminar - Microsoft 365 for Improving Productivity ";2019-09-04 00:00:00,000;2019-09-04 00:00:00,000;"Q1 ";"49 ";"HigherEd"
2020;"TeamsCoaching";"Membangun Ruang Kelas Belajar Virtual dengan Teams ";2019-09-24 00:00:00,000;2019-09-24 00:00:00,000;"Q1 ";"46 ";"K-12"
2020;"TeamsCoaching";"Online activity photo– Menginspirasi Negeri ";2019-08-14 00:00:00,000;2019-09-20 00:00:00,000;"Q1 ";"31 ";"K-12"
2020;".NET Conf ";".NET Conf 2019 ";2019-10-15 00:00:00,000;2019-10-15 00:00:00,000;"Q2 ";"42 ";"HigherEd&Profesional"
2020;"M365";"Optimizing Microsoft 365 for College Student ";2019-10-28 00:00:00,000;2019-10-28 00:00:00,000;"Q2 ";"49 ";"HigherEd"
2020;"TeamsCoaching";"Sway sebagai Media Pembelajaran di Kelas Virtual – Microsoft Teams ";2019-11-11 00:00:00,000;2019-11-11 00:00:00,000;"Q2 ";"36 ";"HigherEd"
2020;"M365";"Global Microsoft 365 Developer Bootcamp 2019 ";2019-11-15 00:00:00,000;2019-11-15 00:00:00,000;"Q2 ";"21 ";"HigherEd&Profesional"
2020;"M365";"Managing Lecture Notes Digitally with OneNote ";2019-11-22 00:00:00,000;2019-11-22 00:00:00,000;"Q2 ";"22 ";"HigherEd"
2020;"M365";"Building Virtual Classroom with Teams ";2019-11-25 00:00:00,000;2019-11-25 00:00:00,000;"Q2 ";"55 ";"HigherEd"
2020;"TeamsCoaching";"PowerPoint sebagai Media Bahan Ajar Digital di Kelas Virtual ";2019-12-17 00:00:00,000;2019-12-17 00:00:00,000;"Q2 ";"44 ";"K-12"
2020;"TeamsCoaching";"PowerPoint sebagai Media Bahan Ajar Digital di Kelas Virtual ";2019-12-31 00:00:00,000;2019-12-31 00:00:00,000;"Q2 ";"40 ";"K-12"
2020;"M365";"Building The Integrated Virtual Classroom with Teams and Moodle ";2020-01-16 00:00:00,000;2020-01-16 00:00:00,000;"Q3 ";"47 ";"HigherEd"
2020;"M365";"Creating and Managing a Document Academic using Office 365 ";2020-03-19 00:00:00,000;2020-03-19 00:00:00,000;"Q3 ";"76 ";"HigherEd"
2020;"M365";"Creating and Managing a Document Academic using Office 365 ";2020-03-21 00:00:00,000;2020-03-21 00:00:00,000;"Q3 ";"75 ";"HigherEd"
2020;"MAU";"Project Collaboration using Teams and Planner ";2020-02-12 00:00:00,000;2020-02-12 00:00:00,000;"Q3 ";"37 ";"K-12"
2020;"MAU";"How to Create a Multimedia Learning Object with Various Tools ";2020-03-19 00:00:00,000;2020-03-19 00:00:00,000;"Q3 ";"45 ";"HigherEd&K-12"
2020;"MAU";"Save Classroom Time tools for planning, assignments ";2020-01-24 00:00:00,000;2020-01-24 00:00:00,000;"Q3 ";"32 ";"K-12"
2020;"MAU";"OneNote Class Notebook Sebagai Media Pendukung Pembelajaran ";2020-02-14 00:00:00,000;2020-02-14 00:00:00,000;"Q3 ";"83 ";"K-12"
2020;"MAU";"Mengembangkan Kemampuan Digital Storytelling Siswa dengan Sway ";2020-03-06 00:00:00,000;2020-03-06 00:00:00,000;"Q3 ";"23 ";"K-12"
2020;"TeamsCoaching";"Monitoring Progres Pelatihan Guru di Indonesia Menggunakan Microsoft Teams ";2020-01-21 00:00:00,000;2020-01-22 00:00:00,000;"Q3 ";"38/37 ";"K-12"
2020;"TeamsCoaching";"Pengolahan dan pengelolaan Data menggunakan Excel dan SharePoint Online  di Microsoft Teams ";2019-01-28 00:00:00,000;2019-01-28 00:00:00,000;"Q3 ";"38 ";"K-12"
2020;"TeamsCoaching";"Training of Trainer – PowerPoint sebagai Bahan Ajar Digital di Kelas Virtual Microsoft Teams ";2020-02-11 00:00:00,000;2020-02-11 00:00:00,000;"Q3 ";"40 ";"K-12"
2020;"M365";"File Management with OneDrive for Business and SharePoint Online ";2020-05-08 00:00:00,000;2020-05-08 00:00:00,000;"Q4 ";"73 ";"HigherEd"
2020;"M365";"Keeping Student Engaged with Office 365 ";2020-05-18 00:00:00,000;2020-05-18 00:00:00,000;"Q4 ";"54 ";"K-12"
2020;"M365";"Building Collaboration Environment with Teams and Planner ";2020-05-19 00:00:00,000;2020-05-19 00:00:00,000;"Q4 ";"31 ";"HigherEd"
2020;"M365";"Increasing Learning Engagement with Video Learning ";2020-04-09 00:00:00,000;2020-04-09 00:00:00,000;"Q4 ";"22 ";"K-12"
2020;"M365";"Build Asynchronous Learning with OneNote Class Notebook ";2020-05-20 00:00:00,000;2020-05-20 00:00:00,000;"Q4 ";"134 ";"K-12"
2020;"TeamsCoaching";"Stay Productive in One Place - Teams ";2020-04-16 00:00:00,000;2020-04-16 00:00:00,000;"Q4 ";"39 ";"K-12"
2020;"TeamsCoaching";"Seminar, Pembimbingan dan Koordinasi Penelitian dengan Microsoft Teams  ";2020-04-21 00:00:00,000;2020-04-21 00:00:00,000;"Q4 ";"22 ";"HigherEd"
2020;"TeamsCoaching";"Building Asynchronous and Synchronous Virtual Classroom ";2020-04-28 00:00:00,000;2020-04-28 00:00:00,000;"Q4 ";"79 ";"K-12"
2020;"Minecraft";"Belajar Bahasa dengan Minecraft: Education Edition ";2020-06-19 00:00:00,000;2020-06-19 00:00:00,000;"Q4 ";"233 ";"K-12"
2020;"Minecraft";"Belajar dan Praktik Sains dengan Minecraft: Education Edition ";2020-06-23 00:00:00,000;2020-06-23 00:00:00,000;"Q4 ";"155 ";"K-12"
2020;"Minecraft";"Mengajarkan Budaya Daerah dengan Minecraft: Education Edition ";2020-06-25 00:00:00,000;2020-06-25 00:00:00,000;"Q4 ";"83 ";"K-12"
2020;"GTP ";"Project Collaboration using Teams and Planner ";2020-04-22 00:00:00,000;2020-04-22 00:00:00,000;"Q4 ";"169 ";"HigherEd"
2020;"GTP ";"7 Tips to Make Accessible Learning ";2020-04-22 00:00:00,000;2020-04-22 00:00:00,000;"Q4 ";"153 ";"K-12"
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-04-23 00:00:00,000;2020-04-23 00:00:00,000;"Q4 ";"132 ";"K-12"
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-04-23 00:00:00,000;2020-04-23 00:00:00,000;"Q4 ";"120 ";"K-12"
2020;"GTP ";"Getting Organized with OneNote Online ";2020-04-27 00:00:00,000;2020-04-27 00:00:00,000;"Q4 ";"134 ";"K-12"
2020;"GTP ";"Build Inclusive Learning Environment with Office 365 ";2020-04-27 00:00:00,000;2020-04-27 00:00:00,000;"Q4 ";"152 ";"K-12"
2020;"GTP ";"Becoming productive in grading by adopting outcome based assessment with Microsoft Forms ";2020-05-20 00:00:00,000;2020-05-20 00:00:00,000;"Q4 ";"86 ";"HigherEd"
2020;"GTP ";"Connected with Students using Remote Learning Scheme with Microsoft Teams and Office 365 ";2020-05-22 00:00:00,000;2020-05-22 00:00:00,000;"Q4 ";"76 ";"K-12"
2020;"GTP ";"Creating Video Learning using PowerPoint Recorder and Game bar ";2020-05-27 00:00:00,000;2020-05-27 00:00:00,000;"Q4 ";"169 ";"K-12"
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-05-29 00:00:00,000;2020-05-29 00:00:00,000;"Q4 ";"73 ";"HigherEd"
2020;"GTP ";"Assessment Model in The Virtual Classroom ";2020-06-02 00:00:00,000;2020-06-02 00:00:00,000;"Q4 ";"163 ";"HigherEd"
2020;"GTP ";"8 Tips For Getting The Right Blend In Blended Learning ";2020-06-02 00:00:00,000;2020-06-02 00:00:00,000;"Q4 ";"147 ";"K-12"
2020;"GTP ";"Pengenalan Microsoft Educator Community dan Microsoft Teams ";2020-06-02 00:00:00,000;2020-06-02 00:00:00,000;"Q4 ";"168 ";"K-12"
2020;"GTP ";"Redefining PowerPoint in the College Classroom ";2020-06-03 00:00:00,000;2020-06-03 00:00:00,000;"Q4 ";"142 ";"HigherEd"
2020;"GTP ";"5 Tips for Digital Transformation of Learning ";2020-06-03 00:00:00,000;2020-06-03 00:00:00,000;"Q4 ";"139 ";"K-12"
2020;"GTP ";"Survei dan Ujian Menggunakan Microsoft Forms dan Berbagi file di OneDrive ";2020-06-03 00:00:00,000;2020-06-03 00:00:00,000;"Q4 ";"150 ";"K-12"
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-06-04 00:00:00,000;2020-06-04 00:00:00,000;"Q3 ";"189 ";"K-12"
2020;"GTP ";"Becoming productive in grading by adopting outcome based assessment with Microsoft Forms   ";2020-06-04 00:00:00,000;2020-06-04 00:00:00,000;"Q4 ";"189 ";"K-12"
2020;"GTP ";"Digital Storytelling with Microsoft Sway, Class notebook (OneNote) dan Berkolaborasi dengan Office Online";2020-06-04 00:00:00,000;2020-06-04 00:00:00,000;"Q4 ";"367 ";"HigherEd"
