Course ID;Title of Course;Topics
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Introduction to AI on Azure"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Developing AI Apps with Cognitive Services"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Getting Started with Natural Language Processing"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Building Speech-Enabled Applications"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Creating Language Understanding Solutions"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Building a QnA Solution"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Conversational AI and the Azure Bot Service"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Getting Started with Computer Vision"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Developing Custom Vision Solutions"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Detecting, Analyzing, and Recognizing Faces"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Reading Text in Images and Documents"
"AI-102";"Designing and Implementing a Microsoft Azure AI Solution";"Creating a Knowledge Mining Solution"
"AI-900";"Microsoft Azure Artificial Intelligence Fundamentals";"Introduction to AI"
"AI-900";"Microsoft Azure Artificial Intelligence Fundamentals";"Machine Learning"
"AI-900";"Microsoft Azure Artificial Intelligence Fundamentals";"Computer Vision"
"AI-900";"Microsoft Azure Artificial Intelligence Fundamentals";"Natural Language Processing"
"AI-900";"Microsoft Azure Artificial Intelligence Fundamentals";"Conversational AI"
"DA-100";"Analyzing Data with Power BI";"Get Started with Microsoft Data Analytics"
"DA-100";"Analyzing Data with Power BI";"Prepare Data in Power BI"
"DA-100";"Analyzing Data with Power BI";"Clean, Transform, and Load Data in Power BI"
"DA-100";"Analyzing Data with Power BI";"Design a Data Model in Power BI"
"DA-100";"Analyzing Data with Power BI";"Create Model Calculations using DAX in Power BI"
"DA-100";"Analyzing Data with Power BI";"Optimize Model Performance"
"DA-100";"Analyzing Data with Power BI";"Create Reports"
"DA-100";"Analyzing Data with Power BI";"Create Dashboards"
"DA-100";"Analyzing Data with Power BI";"Create Paginated Reports in Power BI"
"DA-100";"Analyzing Data with Power BI";"Perform Advanced Analytics"
"DA-100";"Analyzing Data with Power BI";"Create and Manage Workspaces"
"DA-100";"Analyzing Data with Power BI";"Manage Datasets in Power BI"
"DA-100";"Analyzing Data with Power BI";"Row-level security"
"PL-100";"Microsoft Power Platform App Maker";"Introduction to Microsoft Power Platform"
"PL-100";"Microsoft Power Platform App Maker";"Create a model-driven app in Power Apps"
"PL-100";"Microsoft Power Platform App Maker";"Create a canvas app in Power Apps"
"PL-100";"Microsoft Power Platform App Maker";"Automate a business process using Power Automate"
"PL-100";"Microsoft Power Platform App Maker";"Create and use analytics reports with Power BI"
"PL-100";"Microsoft Power Platform App Maker";"Get started with AI Builder and Power Virtual Agents"
"PL-900";"Microsoft Power Platform Fundamentals";"Introduction to Microsoft Power Platform"
"PL-900";"Microsoft Power Platform Fundamentals";"Introduction to Microsoft Dataverse"
"PL-900";"Microsoft Power Platform Fundamentals";"Get Started with Power Apps"
"PL-900";"Microsoft Power Platform Fundamentals";"Get Started with Power Automate"
"PL-900";"Microsoft Power Platform Fundamentals";"Get Started with Power BI"
"PL-900";"Microsoft Power Platform Fundamentals";"Introduction to Power Virtual Agents"
"DP-080";"Querying Data with Microsoft Transact-SQL";"Getting Started with Transact-SQL"
"DP-080";"Querying Data with Microsoft Transact-SQL";"Sorting and Filtering Query Results"
"DP-080";"Querying Data with Microsoft Transact-SQL";"Using Joins and Subqueries"
"DP-080";"Querying Data with Microsoft Transact-SQL";"Using Built-in Functions"
"DP-080";"Querying Data with Microsoft Transact-SQL";"Modifying Data"
"DP-203";"Data Engineering on Microsoft Azure";"Explore compute and storage options for data engineering workloads"
"DP-203";"Data Engineering on Microsoft Azure";"Run interactive queries using Azure Synapse Analytics serverless SQL pools"
"DP-203";"Data Engineering on Microsoft Azure";"Data exploration and transformation in Azure Databricks"
"DP-203";"Data Engineering on Microsoft Azure";"Explore, transform, and load data into the Data Warehouse using Apache Spark"
"DP-203";"Data Engineering on Microsoft Azure";"Ingest and load data into the data warehouse"
"DP-203";"Data Engineering on Microsoft Azure";"Transform data with Azure Data Factory or Azure Synapse Pipelines"
"DP-203";"Data Engineering on Microsoft Azure";"Orchestrate data movement and transformation in Azure Synapse Pipelines"
"DP-203";"Data Engineering on Microsoft Azure";"End-to-end security with Azure Synapse Analytics"
"DP-203";"Data Engineering on Microsoft Azure";"Support Hybrid Transactional Analytical Processing (HTAP) with Azure Synapse Link"
"DP-203";"Data Engineering on Microsoft Azure";"Real-time Stream Processing with Stream Analytics"
"DP-203";"Data Engineering on Microsoft Azure";"Create a Stream Processing Solution with Event Hubs and Azure Databricks"
"DP-900";"Microsoft Azure Data Fundamentals";"Explore core data concepts"
"DP-900";"Microsoft Azure Data Fundamentals";"Explore relational data in Azure"
"DP-900";"Microsoft Azure Data Fundamentals";"Explore non-relational data in Azure"
"DP-900";"Microsoft Azure Data Fundamentals";"Explore modern data warehouse analytics in Azure"
"MS-900";"Microsoft 365 Fundamentals";"Microsoft 365 productivity and teamwork capabilities"
"MS-900";"Microsoft 365 Fundamentals";"Microsoft 365 business management capabilities"
"MS-900";"Microsoft 365 Fundamentals";"Microsoft 365 Licensing and support"
"MS-900";"Microsoft 365 Fundamentals";"Microsoft 365 security and compliance"
"MS-700";"Managing Microsoft Teams";"Get started with managing Microsoft Teams"
"MS-700";"Managing Microsoft Teams";"Implement security and compliance for Microsoft Teams"
"MS-700";"Managing Microsoft Teams";"Prepare the environment for a Microsoft Teams deployment"
"MS-700";"Managing Microsoft Teams";"Manage chat, teams, channels, and apps in Microsoft Teams"
"MS-700";"Managing Microsoft Teams";"Manage meetings and virtual events in Microsoft Teams"
"MS-700";"Managing Microsoft Teams";"Manage calling in Microsoft Teams"
"MS-040";"Manage SharePoint and OneDrive in Microsoft 365";"Plan and Configure SharePoint Sites"
"MS-040";"Manage SharePoint and OneDrive in Microsoft 365";"Configure and Manage OneDrive"
"MS-040";"Manage SharePoint and OneDrive in Microsoft 365";"Sharing and Security in SharePoint and OneDrive"
"MS-040";"Manage SharePoint and OneDrive in Microsoft 365";"Manage User Profiles and Apps"
"MS-040";"Manage SharePoint and OneDrive in Microsoft 365";"Plan and Configure Managed Metadata and Business Connectivity Services"
"MS-040";"Manage SharePoint and OneDrive in Microsoft 365";"Plan and Configure Search"
"MD-100";"Windows 10";"Installing Windows"
"MD-100";"Windows 10";"Configuring Authorization & Authentication"
"MD-100";"Windows 10";"Post-installation Configuration and Personalization"
