Course ID;Title of Course;Topic
"M365-AY001";"Manage SharePoint and OneDrive in Microsoft 365";"Plan and Configure SharePoint Sites"
"M365-AY001";"Manage SharePoint and OneDrive in Microsoft 365";"Configure and Manage OneDrive"
"M365-AY001";"Manage SharePoint and OneDrive in Microsoft 365";"Sharing and Security in SharePoint and OneDrive"
"M365-AY001";"Manage SharePoint and OneDrive in Microsoft 365";"Manage User Profiles and Apps"
"M365-AY001";"Manage SharePoint and OneDrive in Microsoft 365";"Plan and Configure Managed Metadata and Business Connectivity Services"
"M365-AY001";"Manage SharePoint and OneDrive in Microsoft 365";"Plan and Configure Search"
"M365-AY002";"Microsoft Power Platform Developer";"Create a model-driven application in Power Apps"
"M365-AY002";"Microsoft Power Platform Developer";"Create a canvas app in Power Apps"
"M365-AY002";"Microsoft Power Platform Developer";"Master advance techniques and data options in canvas apps"
"M365-AY002";"Microsoft Power Platform Developer";"Automate a business process using Power Automate"
"M365-AY002";"Microsoft Power Platform Developer";"Introduction to developing with Power Platform"
"M365-AY002";"Microsoft Power Platform Developer";"Extending the Power Platform Common Data Service"
"M365-AY002";"Microsoft Power Platform Developer";"Extending the Power Platform user experience Model Driven apps"
"M365-AY002";"Microsoft Power Platform Developer";"Create components with Power Apps Component Framework"
"M365-AY002";"Microsoft Power Platform Developer";"Extend Power Apps portals"
"M365-AY002";"Microsoft Power Platform Developer";"Integrate with Power Platform and Common Data Service"
"M365-AY003";"Microsoft Power Platform App Maker";"Create a model-driven application in Power Apps"
"M365-AY003";"Microsoft Power Platform App Maker";"Create a canvas app in Power Apps"
"M365-AY003";"Microsoft Power Platform App Maker";"Use the UI and controls in a canvas app in Power Apps"
"M365-AY003";"Microsoft Power Platform App Maker";"Automate a business process using Power Automate"
"M365-AY003";"Microsoft Power Platform App Maker";"Create and use analytics reports with Power BI"
"M365-AY003";"Microsoft Power Platform App Maker";"Get started with AI Builder"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"Introduction to the Power Platform"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"The Functional Consultant role"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"Work with Dataverse"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"Make Power Apps"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"Build Power Automate flows"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"Work with Power Virtual Agents"
"M365-AY004";"Microsoft Power Platform Functional Consultant";"Analyze data with Power BI"
"M365-AY005";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Managing Project Files with SharePoint Online"
"M365-AY005";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Managing Meeting Notes with OneNote"
"M365-AY005";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Managing Tasks with Planner and To Do"
"M365-AY005";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Collecting Customer Feedback with Forms"
"M365-AY005";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Building an App with PowerApps"
"M365-AY005";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Archiving and Managing Teams with Template"
"M365-AY006";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Managing Project Files with SharePoint Online"
"M365-AY006";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Managing Meeting Notes with OneNote"
"M365-AY006";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Managing Tasks with Planner and To Do"
"M365-AY006";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Collecting Customer Feedback with Forms"
"M365-AY006";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Building an App with PowerApps"
"M365-AY006";"Adopt and Change Operational Activities with Microsoft Teams Essentials";"Archiving and Managing Teams with Template"
"M365-AY007";"Outcome Based Education Model Implementation with Microsoft 365";"The fundamental of OBE"
"M365-AY007";"Outcome Based Education Model Implementation with Microsoft 365";"How to assess in OBE"
"M365-AY007";"Outcome Based Education Model Implementation with Microsoft 365";"OBE implementation in Microsoft Teams"
"M365-AY008";"Digital Assets Management for Accreditation";"Planning for Accreditation Workspace"
"M365-AY008";"Digital Assets Management for Accreditation";"Digital Working Strategy for Accreditation"
"M365-AY008";"Digital Assets Management for Accreditation";"Accreditation visit preparation"
"M365-AY009";"Microsoft Teams for Education";"Creating and Managing Virtual Classroom"
"M365-AY009";"Essentials";"Implementing Asynchronous and Synchronous Learning Models in Teams"
"M365-AY009";"Essentials";"Managing Documents in The Virtual Classroom"
"M365-AY009";"Essentials";"Integrating Teams with Other Apps"
"M365-AY009";"Essentials";"Distributing Assignment in Teams"
"M365-AY009";"Essentials";"Reviewing Assignment"
"M365-AY010";"Microsoft Teams for Education";"Creating Learning Materials with Sway and PowerPoint"
"M365-AY010";"Advanced";"Distributing Learning Materials in The Virtual Classroom"
"M365-AY010";"Advanced";"Creating Interactive Assignment using Stream and Forms"
"M365-AY010";"Advanced";"Creating and Distributing Assignment using OneNote Class Notebook"
"M365-AY010";"Advanced";"Archiving the Virtual Classroom"
"M365-AY011";"Analyzing Data with Power BI - Series 1";"Get Started with Microsoft Data Analytics"
"M365-AY011";"Analyzing Data with Power BI - Series 1";"Prepare Data in Power BI"
